transaction_id,amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud,risk_flag,amount_norm,trust_norm,velocity_norm,transaction_node,merchant_node,cardholder_node,fraud_label
1,84.47,22,Electronics,0,0,66,3,40,0,0,0.057421959973896014,0.5540540540540541,0.3333333333333333,TX_1,Electronics,USER_0,Normal
2,541.82,3,Travel,1,0,87,1,64,0,1,0.36832445072873615,0.8378378378378378,0.1111111111111111,TX_2,Travel,USER_1,Normal
3,237.01,17,Grocery,0,0,49,1,61,0,0,0.16111730476397648,0.32432432432432434,0.1111111111111111,TX_3,Grocery,USER_2,Normal
4,164.33,4,Grocery,0,1,72,3,34,0,1,0.11171008266260606,0.6351351351351352,0.3333333333333333,TX_4,Grocery,USER_3,Normal
5,30.53,15,Food,0,0,79,0,44,0,0,0.020754024363715467,0.7297297297297297,0.0,TX_5,Food,USER_4,Normal
6,30.53,13,Clothing,0,0,90,2,46,0,0,0.020754024363715467,0.8783783783783784,0.2222222222222222,TX_6,Clothing,USER_5,Normal
7,10.77,18,Travel,0,0,48,1,28,0,0,0.007321350881009353,0.31081081081081086,0.1111111111111111,TX_7,Travel,USER_6,Normal
8,362.02,13,Electronics,0,0,68,1,40,0,0,0.24609799869480092,0.5810810810810811,0.1111111111111111,TX_8,Electronics,USER_7,Normal
9,165.43,8,Grocery,0,0,80,0,21,0,0,0.1124578529475745,0.7432432432432433,0.0,TX_9,Grocery,USER_8,Normal
10,221.63,5,Grocery,0,0,59,1,34,0,0,0.15066211659778114,0.45945945945945954,0.1111111111111111,TX_10,Grocery,USER_9,Normal
11,3.74,16,Grocery,0,0,58,2,28,0,0,0.0025424189688927562,0.44594594594594594,0.2222222222222222,TX_11,Grocery,USER_10,Normal
12,630.64,18,Clothing,0,0,30,4,25,0,0,0.4287035022840983,0.0675675675675676,0.4444444444444444,TX_12,Clothing,USER_11,Normal
13,321.56,11,Clothing,0,0,73,4,68,0,0,0.21859364803132478,0.6486486486486487,0.4444444444444444,TX_13,Clothing,USER_12,Normal
14,42.96,3,Travel,0,0,40,2,43,0,0,0.02920382858385904,0.20270270270270274,0.2222222222222222,TX_14,Travel,USER_13,Normal
15,36.12,15,Electronics,0,0,37,2,69,0,0,0.024554056993691536,0.16216216216216217,0.2222222222222222,TX_15,Electronics,USER_14,Normal
16,36.47,10,Clothing,0,0,36,2,66,0,0,0.024791983902545136,0.14864864864864868,0.2222222222222222,TX_16,Clothing,USER_15,Normal
17,65.3,21,Food,0,0,35,1,25,0,0,0.04439036328040026,0.1351351351351352,0.1111111111111111,TX_17,Food,USER_16,Normal
18,133.91,3,Clothing,0,0,71,2,25,0,0,0.09103083532738743,0.6216216216216217,0.2222222222222222,TX_18,Clothing,USER_17,Normal
19,101.8,16,Grocery,1,0,84,3,24,0,1,0.06920274091798999,0.7972972972972973,0.3333333333333333,TX_19,Grocery,USER_18,Normal
20,61.96,7,Electronics,0,0,73,2,68,0,0,0.04211986077876876,0.6486486486486487,0.2222222222222222,TX_20,Electronics,USER_19,Normal
21,170.35,13,Travel,0,0,76,4,51,0,0,0.11580242549488796,0.6891891891891894,0.4444444444444444,TX_21,Travel,USER_20,Normal
22,27.04,1,Clothing,0,0,85,1,49,0,0,0.018381553186860994,0.8108108108108109,0.1111111111111111,TX_22,Clothing,USER_21,Normal
23,62.19,10,Grocery,0,0,64,2,30,0,0,0.04227621274744398,0.5270270270270271,0.2222222222222222,TX_23,Grocery,USER_22,Normal
24,82.13,10,Food,0,0,95,2,53,0,0,0.055831248640417656,0.9459459459459459,0.2222222222222222,TX_24,Food,USER_23,Normal
25,109.61,23,Food,0,0,99,2,35,0,0,0.07451190994126604,1.0,0.2222222222222222,TX_25,Food,USER_24,Normal
26,276.83,21,Travel,1,0,77,3,30,0,1,0.18818658907983465,0.7027027027027027,0.3333333333333333,TX_26,Travel,USER_25,Normal
27,40.09,23,Travel,0,0,85,1,47,0,0,0.027252827931259518,0.8108108108108109,0.1111111111111111,TX_27,Travel,USER_26,Normal
28,129.97,5,Clothing,0,0,46,1,18,0,0,0.08835245812486404,0.2837837837837839,0.1111111111111111,TX_28,Clothing,USER_27,Normal
29,161.55,20,Travel,0,0,62,3,52,0,0,0.10982026321514031,0.5000000000000001,0.3333333333333333,TX_29,Travel,USER_28,Normal
30,8.56,20,Grocery,0,0,85,1,20,0,0,0.005819012399390908,0.8108108108108109,0.1111111111111111,TX_30,Grocery,USER_29,Normal
31,168.36,13,Grocery,0,0,71,2,47,0,0,0.11444964107026322,0.6216216216216217,0.2222222222222222,TX_31,Grocery,USER_30,Normal
32,33.65,9,Grocery,0,0,51,2,65,0,0,0.022874972808353274,0.3513513513513514,0.2222222222222222,TX_32,Grocery,USER_31,Normal
33,12.11,7,Clothing,0,0,42,3,42,0,0,0.008232271046334566,0.22972972972972971,0.3333333333333333,TX_33,Clothing,USER_32,Normal
34,535.26,6,Clothing,0,0,44,7,50,0,0,0.3638650206656515,0.2567567567567568,0.7777777777777777,TX_34,Clothing,USER_33,Normal
35,606.71,7,Travel,0,0,66,5,33,0,0,0.4124360996301936,0.5540540540540541,0.5555555555555556,TX_35,Travel,USER_34,Normal
36,297.42,7,Clothing,0,0,65,2,66,0,0,0.2021834892321079,0.5405405405405406,0.2222222222222222,TX_36,Clothing,USER_35,Normal
37,65.39,22,Grocery,0,0,96,1,20,0,0,0.044451544485534046,0.9594594594594595,0.1111111111111111,TX_37,Grocery,USER_36,Normal
38,18.5,1,Electronics,0,0,82,2,64,0,0,0.012576136610833151,0.7702702702702703,0.2222222222222222,TX_38,Electronics,USER_37,Normal
